Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086817584488960896,201.35427489427,-46.50983260536,-7.885,-1.489,18.945671,19.27686,18.460693
6086817588784019072,201.35097510718,-46.50996231469,-11.335,3.546,19.822367,20.353443,19.051987
6086817588789886720,201.34877072943,-46.51002603506,-17.094,-12.59,17.651821,18.045126,17.10222
6086817588784011904,201.33824526218,-46.51256019647,-6.133,-1.194,18.00674,18.402779,17.409735
6086817584495330048,201.33718027059,-46.51158748249,-30.569,-2.858,18.762562,20.156967,17.60121
6086817584488957952,201.33957625491,-46.5105816642,-5.853,-0.623,19.12133,19.60831,18.457483
6086817588784017024,201.3343357015,-46.51070324943,-18.354,-0.759,20.199259,21.017378,19.418892
6086817584488978048,201.35038101574,-46.50448361922,-4.955,-1.307,19.841908,20.25658,19.261549
6086817618848672896,201.36163493189,-46.5195024837,-5.468,-3.345,17.780853,18.234776,17.181868
6086817618848673024,201.3613627528,-46.51821252275,-6.453,-2.637,19.550245,20.401655,18.663168
6086817618848688128,201.36296800651,-46.5139354906,-9.6,-7.14,18.541124,19.406895,17.675037
6086817618848707072,201.37785229405,-46.50788622179,-17.695,-11.253,19.755371,20.341888,19.073019
6086817623146929408,201.3731199577,-46.49969574013,,,20.847351,20.920353,20.82614
6086817653208452096,201.38054024356,-46.50617428277,-1.994,-6.547,20.09578,20.606884,19.528784
6086817657507482240,201.38051071815,-46.50322739949,-9.476,-2.169,20.46936,20.978655,19.604551
6086817653208462464,201.39029671587,-46.50348402834,-8.741,-1.615,18.519545,18.915405,17.954369
6086817653208467072,201.39233213153,-46.50187782908,-4.708,-1.289,18.13174,18.491016,17.602724
6086817657509781504,201.39490490921,-46.49553233888,-5.79,-0.979,18.453793,18.814146,17.949808
6086817657506668928,201.3774684419,-46.50127465743,,,21.026857,22.259314,18.940283
6086817653208484352,201.37925632391,-46.49577422786,-19.716,-7.556,19.394327,20.2921,18.414013
6086817691863243904,201.35644256301,-46.50502395861,-20.163,-7.869,19.520933,20.633785,18.461216
6086817691869108864,201.35601701162,-46.50340753627,-4.806,-1.48,16.932564,17.478033,16.247807
6086817691870242944,201.37136202867,-46.49530597867,-6.573,-2.24,18.316395,18.798704,17.681257
6086817687568213504,201.35905120148,-46.49895593163,-2.765,-5.786,18.444271,18.83081,17.889908
6086817691869113984,201.35172760509,-46.49800536807,0.151,-5.451,15.351142,15.745807,14.79521
6086817691869118848,201.36544765728,-46.49224341567,-5.046,0.315,17.148317,17.447588,16.685503
6086817721927973120,201.37506465583,-46.49223614062,-9.733,2.198,19.315155,19.661419,18.78182
6086817726225143168,201.37363056083,-46.49097854884,-1.435,-6.506,20.754288,20.777876,20.321032
6086817726229260416,201.38677012936,-46.48346342711,-1.433,-0.935,18.32034,18.856329,17.60757
6086817721927323392,201.37348070796,-46.48960021034,-15.719,0.084,20.479351,21.103567,19.544868
6086817726225147264,201.37723652623,-46.48698377729,,,,,19.53548
6086817726229259392,201.37810925369,-46.48640737995,-4.359,-3.15,17.324808,18.154608,16.446577
6086817721928002816,201.38267903312,-46.48376100797,-5.426,-4.424,18.46371,19.367933,17.480106
6086817721928008832,201.38306901719,-46.48197118036,-5.943,-1.492,18.188715,18.626339,17.5365
6086817721928010752,201.38075384136,-46.48090455792,-7.373,-4.431,20.240685,20.71843,19.362486
6086817721928020736,201.38186716859,-46.47820854362,-13.488,-3.771,18.252203,19.14022,17.312193
6086817756287628928,201.41688942105,-46.51813883597,-6.64,-4.868,19.91668,20.918242,18.879053
6086817760586705152,201.41520299828,-46.51255727293,-7.68,-2.699,20.306324,20.690695,19.605837
6086817760586705664,201.41991180004,-46.5145187006,,,20.654076,21.656223,19.938038
6086817756287662336,201.42181104615,-46.50873147482,-11.131,-0.018,18.079926,18.492632,17.491165
6086817760586701696,201.40800778536,-46.51506048944,9.518,-1.492,20.105078,21.134119,18.73428
6086817760586703360,201.40953293172,-46.51331065095,-8.349,-2.971,20.38151,21.161007,19.444622
6086817760583604352,201.40888904278,-46.50933937838,-4.647,-4.279,19.712337,21.003635,18.532145
