Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6083445489709222784,202.05631616363,-47.91496749218,-4.703,-6.037,20.667015,20.976841,19.868225
6083445485408286080,202.05596045635,-47.91366973405,-2.125,-6.948,20.044254,20.464863,19.428474
6083445519769829760,202.06207517503,-47.90549123831,-3.179,-6.311,20.209007,20.627073,19.611044
6083445519768067840,202.07759199482,-47.90266312051,-3.067,-6.938,17.933367,18.22271,17.488874
6083445863365484544,202.10966846296,-47.89432854382,-4.315,-6.721,19.697155,20.119429,19.177526
6083445863365509120,202.11853856359,-47.88858453585,-4.28,-6.86,19.43888,19.898783,18.853968
6083445902026236800,202.08086056452,-47.90403668156,-2.02,-6.685,20.11729,20.632225,19.489637
6083445897725194368,202.09022684595,-47.90106917557,-4.207,-5.327,19.215704,19.695004,18.24337
6083445902026277376,202.08623584438,-47.89500172063,-4.652,-6.903,20.384853,20.910519,19.708385
6083445897725208064,202.07980938194,-47.89753380908,-3.754,-7.02,19.479107,19.943748,18.925179
6083445936378268032,202.10906710534,-47.88759145432,-3.507,-6.551,19.797009,20.214306,19.181536
6083445936392675840,202.11669276518,-47.88595137834,-3.213,-6.552,19.348642,19.71916,18.808382
6083445932085004416,202.1158192245,-47.88445324844,-3.115,-6.679,18.558739,18.838057,18.007195
6083445936392676096,202.10875734381,-47.8857961059,-3.612,-6.562,18.404646,18.687304,17.915949
6083445932085051136,202.10402093263,-47.88071579914,-4.325,-6.722,19.58326,20.101908,19.074154
6083445932085019264,202.10867563144,-47.87981113072,-3.105,-6.463,19.516693,20.007887,19.012032
6083445970745897600,202.1333466646,-47.88332073582,-2.345,-7.425,20.401941,20.699673,19.658531
6083445966444752384,202.12730797839,-47.88161386662,-3.458,-6.418,19.157072,19.53404,18.577957
6083446000804546304,202.14949952867,-47.86841009554,-4.159,-6.182,19.511892,19.931261,19.056816
6083446005105733760,202.14900545509,-47.86689973452,-3.722,-7.072,20.440544,20.899273,19.93563
6083446000804575104,202.15226883505,-47.86308114512,-2.979,-6.142,18.642302,18.966745,18.095211
6083446035164241792,202.11709711445,-47.87824296824,-3.444,-5.911,20.063894,20.545345,19.359156
6083446035164254336,202.12816897666,-47.87527346227,-3.328,-6.063,19.713638,20.13425,19.141785
6083446035164270208,202.12233443771,-47.87225028167,-3.65,-7.139,19.45023,19.95577,18.996649
6083446039465385344,202.12230173617,-47.87132092684,-1.841,-6.185,20.51236,20.71353,20.034472
6083446039471895552,202.11802097852,-47.87078233541,-3.398,-6.682,17.156996,17.586435,16.565123
6083446035164299520,202.13139456914,-47.86462260517,-4.273,-6.487,20.339699,20.897717,19.627016
6083446073825169152,202.13898326871,-47.87041482734,-3.904,-7.141,20.60272,21.026976,19.931566
6083446073831635072,202.14017488607,-47.86815994139,-3.044,-6.375,18.257256,18.585844,17.78485
6083446073817274624,202.13921400162,-47.86341454525,-3.502,-6.214,19.8461,20.165718,19.228813
6083446073825203456,202.14263765349,-47.86344529328,-2.805,-7.36,20.705362,20.97091,20.239643
6083446073831676928,202.14256247448,-47.86159512929,-3.643,-5.69,20.41676,20.631527,19.88991
6083446073817277952,202.13728822529,-47.86184570044,-2.653,-7.092,18.81384,,
6083446069524054912,202.13939157572,-47.86139929691,-3.611,-6.996,18.769215,19.09401,18.258707
6083446073817293184,202.14960780846,-47.85557146168,-3.495,-6.964,19.62389,19.586903,18.85657
6083446073825258496,202.14608876549,-47.85134192657,-3.23,-8.048,20.409452,21.117212,19.847467
6083447478273341952,202.16841656083,-47.85857644336,-2.627,-7.116,19.662516,20.209682,19.126429
6083447482580915328,202.17664821454,-47.85015278621,-3.663,-6.737,19.283203,19.698326,18.79538
6083447516926306304,202.18310118862,-47.8553238016,-2.844,-6.839,19.2583,19.600971,18.63993
6083447512641661440,202.19333044691,-47.84480793094,-3.181,-7.28,19.441881,19.835077,18.953316
6083447516940655360,202.19468002842,-47.84418389962,-2.897,-6.865,19.592049,19.922728,19.08399
6083447516940653568,202.18062707412,-47.85195777049,-2.936,-6.508,18.106012,18.455278,17.576672
6083447512633166592,202.19583233603,-47.84022168854,-2.797,-6.35,19.283155,19.705162,18.839203
6083447551291117824,202.17213492724,-47.84714463966,-3.712,-7.708,20.131535,20.542591,19.599405
6083447546992854912,202.1565469229,-47.85084338222,-3.476,-7.272,19.002058,19.468548,18.58812
6083447551286084736,202.16812830892,-47.84033831813,-3.746,-6.563,20.108957,20.587597,19.595465
6083447585660131200,202.17831526242,-47.8454894134,-3.158,-6.854,16.313915,16.783337,15.677969
6083447581352679168,202.17562849704,-47.83307820503,-4.043,-6.836,19.689415,20.160114,19.186092
6083447585645848192,202.18545754857,-47.83192507156,-4.038,-5.974,19.69369,19.940367,18.609934
6083447615713933696,202.20293426552,-47.8419618355,-2.647,-7.146,20.279142,20.698267,19.641235
6083447615712396672,202.21449775456,-47.83740097053,-3.495,-6.447,18.342016,18.68171,17.899319
6083447620019871872,202.20052128915,-47.83931049875,-3.558,-7.804,17.890697,18.281883,17.364435
6083447620019873664,202.20175376903,-47.83375031785,-3.885,-6.813,18.035305,18.28425,17.64668
6083447654365323776,202.22046159121,-47.83278990859,-2.226,-6.516,18.978018,19.268682,18.455452
6083447650072193152,202.22387049058,-47.82595940929,-3.814,-8.184,20.103172,20.392075,19.549112
6083447688739350912,202.19717212724,-47.8315463614,-3.494,-6.438,18.136435,18.477478,17.705437
6083447688733206656,202.19177864429,-47.82687854937,-2.391,-6.631,20.471054,20.858303,19.868176
6083447688725082112,202.19293610385,-47.82483775483,-3.204,-6.828,19.8364,19.679924,18.913027
6083447688739353728,202.20861027633,-47.81635781211,-3.579,-6.488,14.646945,14.754366,14.446733
6083447723093086720,202.21954237839,-47.81447236599,-3.433,-5.635,20.541784,20.860062,20.004644
6083447718791755008,202.214627635,-47.81123628738,-3.322,-6.075,19.78901,20.136845,19.300385
6083448032322507008,202.24913619646,-47.81012749702,-3.21,-6.77,20.204788,20.474247,19.460579
6083448032336738304,202.24782728096,-47.80926126764,-3.173,-7.089,19.346338,19.753517,18.784395
6083448028029378432,202.23756566568,-47.81528729671,-2.729,-6.584,19.585701,20.064156,19.067938
6083448028029388544,202.2350435763,-47.81359414846,-2.978,-6.413,19.440178,19.826946,19.01346
6083448032330819968,202.24483155726,-47.80854108988,-3.369,-6.457,20.084915,20.576496,19.617184
6083448032336740224,202.24951267289,-47.80204061906,-4.149,-6.432,19.48911,19.766294,18.749012
6083448066696478464,202.25843477363,-47.80257310785,-3.335,-6.169,19.134295,19.010998,17.965805
6083448066682293120,202.27107364395,-47.79614726364,-3.471,-6.512,18.414448,18.698666,17.908909
6083448066682295552,202.26200628045,-47.79523990076,-3.644,-6.598,20.254063,20.66113,19.594355
6083448101050308864,202.24075313656,-47.80065072029,-1.863,-6.817,20.547039,21.093151,19.836685
6083448101042022016,202.24028216573,-47.79802530088,-2.338,-7.049,19.282364,19.1693,18.497446
6083448096748943744,202.23060698708,-47.79813596171,-2.81,-5.916,20.029045,20.654919,19.622425
6083448096749001856,202.24513745858,-47.7881013293,-3.287,-6.841,18.328016,18.64803,17.862415
6083448135401799808,202.26737727546,-47.78664905378,-2.273,-5.458,20.393496,,
6083448135410127232,202.25344474919,-47.78449967071,-2.722,-7.192,20.344614,20.86309,19.798336
6083448135410136832,202.25659910077,-47.7834446584,-4.437,-6.738,20.445873,20.946337,19.951488
6083448135401841152,202.26361242806,-47.77594830678,-3.593,-6.775,20.280624,20.81409,19.782064
6083448165468493056,202.27574509397,-47.78583901903,-2.874,-6.551,18.550919,18.841303,18.052446
